,version,baseline,model_type,train_acc,test_acc,bal_acc,recall,precision,f1_score
first run_rfc,v1,0.7506881635863154,rfc,0.9690613529103304,0.7452830188679245,0.5765199161425576,0.2389937106918239,0.4810126582278481,0.31932773109243695
first run_logreg,v1,0.7506881635863154,logreg,0.7656004195070791,0.7610062893081762,0.5681341719077568,0.18238993710691823,0.5686274509803921,0.27619047619047615
first run_abc,v1,0.7506881635863154,abc,1.0,0.7468553459119497,0.5922431865828092,0.2830188679245283,0.4891304347826087,0.35856573705179284
first run_bgc,v1,0.7506881635863154,bgc,0.940744625065548,0.75,0.5607966457023061,0.18238993710691823,0.5,0.2672811059907834
first run_svc,v1,0.7506881635863154,svc,0.7509176717357106,0.75,0.5,0.0,0.0,0.0
og_poly_rfc,v1,0.7506881635863154,rfc,0.9103303618248558,0.7515723270440252,0.5660377358490566,0.1949685534591195,0.5081967213114754,0.2818181818181818
og_poly_logreg,v1,0.7506881635863154,logreg,0.7850026219192449,0.7405660377358491,0.5880503144654088,0.2830188679245283,0.46875,0.35294117647058826
og_poly_abc,v1,0.7506881635863154,abc,1.0,0.7562893081761006,0.5922431865828093,0.2641509433962264,0.525,0.3514644351464435
og_poly_bgc,v1,0.7506881635863154,bgc,1.0,0.7688679245283019,0.6111111111111112,0.29559748427672955,0.573170731707317,0.39004149377593356
og_poly_svc,v1,0.7506881635863154,svc,0.7509176717357106,0.75,0.5,0.0,0.0,0.0
